I0,I1,I2,I3,I4,I5,I6,I7,I8,new_col
6.899323,25.300838,1.180923,0.001318,2e-06,-3.457792,0.924957,0.380073,9.787436,1
6.914909,25.309288,1.180908,-0.005256,2.8e-05,-0.167956,0.924952,0.380091,9.795512,1
6.838821,25.292976,1.180901,0.000579,0.0,1.031563,0.924949,0.380095,9.763205,1
6.846603,25.312855,1.180864,-0.006311,4e-05,2.718646,0.924935,0.380123,9.834103,1
6.843689,25.311119,1.180872,-0.003246,1.1e-05,-2.074647,0.924938,0.380122,9.741667,1
6.860802,25.305687,1.180878,-0.004853,2.4e-05,-6.935018,0.92494,0.380116,9.714744,1
6.846855,25.31213,1.180883,-0.002895,8e-06,-5.804207,0.924942,0.380109,9.774872,1
6.80748,25.293463,1.180887,0.007653,5.9e-05,7.490911,0.924944,0.380099,9.78923,1
6.836426,25.309536,1.180874,-0.002151,5e-06,0.906908,0.924939,0.380118,9.779359,1
6.813774,25.311157,1.180881,-0.003436,1.2e-05,-7.685552,0.924941,0.38012,9.738077,1
6.811272,25.301544,1.180872,0.000724,1e-06,-1.543201,0.924938,0.380119,9.742564,1
6.826073,25.29813,1.180891,0.001563,2e-06,-6.442074,0.924945,0.380105,9.780256,1
6.792816,25.306047,1.180887,-0.003262,1.1e-05,-1.990638,0.924943,0.380107,9.746154,1
6.813873,25.298201,1.1809,-0.000121,0.0,-5.502393,0.924949,0.380097,9.781154,1
6.788139,25.282709,1.180913,0.007993,6.4e-05,2.203022,0.924953,0.380075,9.727307,1
6.772339,25.299082,1.18091,-0.003249,1.1e-05,1.020062,0.924952,0.380082,9.770385,1
6.805367,25.2903,1.180932,0.00508,2.6e-05,0.06033,0.924961,0.380056,9.769487,1
6.765533,25.300657,1.180949,0.002907,8e-06,1.156218,0.924967,0.380038,9.797307,1
6.77652,25.298092,1.180968,0.00589,3.5e-05,3.667259,0.924974,0.380027,9.817051,1
6.75914,25.300804,1.180972,0.001323,2e-06,1.216461,0.924976,0.380027,9.820641,1
6.749336,25.287611,1.180987,0.006506,4.2e-05,-0.436972,0.924981,0.380015,9.744359,1
6.733734,25.306276,1.180982,-0.002267,5e-06,-3.471379,0.92498,0.380016,9.73718,1
6.765472,25.308989,1.180984,-0.003226,1e-05,-3.587535,0.92498,0.380016,9.730897,1
6.755882,25.296272,1.180989,0.003783,1.4e-05,2.133276,0.924982,0.380004,9.79641,1
6.761986,25.306911,1.180998,-0.001912,4e-06,-0.8435,0.925001,0.379996,9.795512,1
6.707497,25.297857,1.18101,-0.000962,1e-06,-0.970299,0.92499,0.379989,9.734487,1
6.733978,25.295515,1.181019,0.003848,1.5e-05,1.512529,0.924994,0.379978,9.76141,1
6.732109,25.308695,1.181014,-0.004777,2.3e-05,0.260384,0.924992,0.379987,9.744359,1
6.72155,25.292959,1.181011,0.001314,2e-06,2.404248,0.924991,0.379991,9.741667,1
6.753288,25.299112,1.180997,0.001325,2e-06,5.399343,0.924985,0.379998,9.720128,1
6.769234,25.288712,1.181011,0.003705,1.4e-05,-0.732203,0.924991,0.379992,9.734487,1
6.809326,25.279509,1.181032,0.010094,0.000102,3.368752,0.924999,0.379962,9.764999,1
6.819427,25.307514,1.181026,-0.003121,1e-05,1.574432,0.924996,0.379987,9.683333,1
6.78363,25.321579,1.181007,-0.006226,3.9e-05,-5.422565,0.924989,0.379998,9.749743,1
6.783325,25.29948,1.181003,-0.000241,0.0,-1.426093,0.924988,0.379997,9.75423,1
6.776009,25.304646,1.180988,-0.006021,3.6e-05,-1.475316,0.924982,0.380014,9.736281,1
6.768829,25.298409,1.18098,-0.002498,6e-06,-1.546715,0.924979,0.380018,9.82423,1
6.7967,31.619131,1.180982,-0.001874,4e-06,-0.592984,0.92498,0.380019,9.776667,1
6.814285,25.294014,1.180982,-0.000241,0.0,0.234677,0.92498,0.380019,9.764102,1
6.727867,25.288799,1.18098,0.0,0.0,0.0,0.924979,0.38002,9.784743,1
6.813995,25.311937,1.180966,-0.005729,3.3e-05,-0.892688,0.924973,0.380032,9.773077,1
6.765915,25.301836,1.180966,-0.001563,2e-06,-0.281869,0.924973,0.380038,9.781154,1
6.770981,25.297596,1.180967,0.000719,1e-06,-3.011032,0.924974,0.380024,9.762307,1
6.730255,25.308424,1.180966,-0.005039,2.5e-05,1.510988,0.924973,0.38003,9.743462,1
6.730171,25.298864,1.180972,0.001157,1e-06,0.192168,0.924976,0.380022,9.80359,1
6.701599,25.29488,1.180985,0.001806,3e-06,0.867074,0.924981,0.380011,9.771282,1
6.674294,25.294699,1.180994,0.001808,3e-06,2.183581,0.924984,0.380002,9.802692,1
6.705452,25.291094,1.181001,0.000843,1e-06,0.140418,0.924987,0.379997,9.825128,1
6.694939,25.302418,1.180999,-0.001198,1e-06,-0.022561,0.924986,0.380001,9.747949,1
6.695084,25.280369,1.181034,0.006845,4.7e-05,-2.606071,0.924999,0.379973,9.735384,1
6.705063,25.270855,1.181037,0.007682,5.9e-05,3.228172,0.925001,0.379967,9.730897,1
6.704903,25.307154,1.181022,-0.003124,1e-05,1.065873,0.924995,0.379981,9.795512,1
6.719925,25.302771,1.181018,-0.004457,2e-05,-3.19877,0.924993,0.379993,9.8,1
6.697128,25.304657,1.180991,-0.002285,5e-06,0.904797,0.924983,0.380009,9.773974,1
6.717026,25.301077,1.180999,0.002038,4e-06,0.998466,0.924986,0.380003,9.785641,1
6.702797,25.289421,1.181008,0.005741,3.3e-05,1.022583,0.92499,0.379992,9.782051,1
6.677368,25.290703,1.181002,0.002392,6e-06,2.581193,0.925003,0.379986,9.78923,1
6.694977,25.307587,1.181021,-0.003236,1e-05,-2.063628,0.924995,0.379981,9.759615,1
6.668724,25.304966,1.181019,-0.000467,0.0,0.914732,0.924994,0.379969,9.747051,1
6.653198,25.318502,1.181039,-0.008838,7.8e-05,-5.186993,0.925001,0.379965,9.773974,1
6.668556,25.305655,1.18103,-0.001928,4e-06,0.675236,0.924998,0.379971,9.77218,1
6.639862,25.304052,1.181021,-0.000722,1e-06,1.164845,0.924995,0.379976,9.788333,1
