I0,I1,I2,I3,I4,I5,I6,I7,I8,new_col
-72.510391,-3.835666,-0.145101,0.026915,0.000724,1.653044,-0.144524,0.989501,9.751538,0
-73.163956,-3.853148,-0.144908,0.033469,0.00112,2.36248,-0.144336,0.989529,9.721025,0
-73.763367,-3.867795,-0.144702,0.037417,0.0014,3.745184,-0.144197,0.989559,9.639359,0
-74.3853,-3.8559,-0.144518,0.030502,0.00093,-1.253381,-0.143947,0.989585,9.616923,0
-75.042145,-3.860543,-0.144326,0.030917,0.000956,6.487098,-0.143791,0.989608,9.667179,0
-75.657959,-3.868876,-0.144142,0.030568,0.000934,4.933082,-0.143567,0.98964,9.747949,0
-76.245544,-3.864582,-0.143941,0.024924,0.000621,-3.946451,-0.143444,0.989666,9.760512,0
-76.898087,-3.862682,-0.143806,0.022625,0.000512,3.746037,-0.143257,0.989685,9.710257,0
-77.488647,-3.87143,-0.143642,0.020565,0.000423,-6.929178,-0.143126,0.989704,9.672564,0
-78.042969,-3.874925,-0.143564,0.017265,0.000298,1.344181,-0.143045,0.989716,9.641153,0
-78.57225,-3.86795,-0.143484,0.012931,0.000167,0.453252,-0.142974,0.989727,9.660897,0
-79.104721,-3.887486,-0.143428,0.01525,0.000233,5.384733,-0.142918,0.989734,9.664487,0
-79.628403,-3.877535,-0.143339,0.00964,9.3e-05,-3.826107,-0.14283,0.989747,9.681539,0
-80.076324,-3.876504,-0.14329,0.005075,2.6e-05,-2.287748,-0.1428,0.989753,9.791923,0
-80.757324,-3.876069,-0.143249,0.007089,5e-05,-0.53248,-0.142755,0.989758,9.740769,0
-80.991211,-3.893738,-0.143213,0.007278,5.3e-05,-4.186215,-0.142724,0.989762,9.762307,0
-81.337769,-3.888195,-0.143217,0.002059,4e-06,1.024472,-0.142724,0.989762,9.782948,0
-81.697968,-3.87621,-0.143229,-0.005227,2.7e-05,0.414889,-0.142755,0.989758,9.701282,0
-82.033783,-3.888309,-0.14326,-0.001947,4e-06,-0.164382,-0.142775,0.989755,9.745256,0
-82.295013,-3.874982,-0.1433,-0.009425,8.9e-05,-2.387799,-0.142818,0.989749,9.770385,0
-82.580215,-3.896134,-0.143316,-0.00242,6e-06,-1.388083,-0.142826,0.989747,9.750641,0
-82.898346,-3.896858,-0.14334,-0.003806,1.4e-05,0.515625,-0.14285,0.989744,9.782948,0
-83.052338,-3.906228,-0.143341,0.000955,1e-06,-0.379374,-0.142851,0.989743,9.900513,0
-83.191345,-3.927711,-0.143332,0.009082,8.2e-05,4.968981,-0.142819,0.989748,9.969615,0
-83.400833,-3.916347,-0.143297,0.00566,3.2e-05,-0.983109,-0.142799,0.989752,10.03782,0
-83.526611,-3.927744,-0.143253,0.011142,0.000124,2.771916,-0.142752,0.989759,9.931026,0
-83.703354,-3.926659,-0.143177,0.009796,9.6e-05,0.92263,-0.142689,0.98977,9.878974,0
-83.773773,-3.934311,-0.143111,0.012851,0.000165,0.144674,-0.142623,0.989779,9.850256,0
-83.857193,-3.91939,-0.14308,0.007033,4.9e-05,1.87814,-0.142588,0.989782,9.774872,0
-83.978363,-3.932635,-0.143056,0.012383,0.000153,7.956775,-0.142541,0.989789,9.764102,0
-84.01088,-3.909866,-0.143024,0.001604,3e-06,1.013354,-0.142533,0.98979,9.657308,0
-84.131378,-3.920756,-0.142995,0.005838,3.4e-05,0.076146,-0.142497,0.989796,9.686026,0
-84.260071,-3.90858,-0.142971,-0.00078,1e-06,-1.391918,-0.142484,0.989797,9.703974,0
-84.402649,-3.911497,-0.142962,0.000641,0.0,1.201267,-0.142476,0.989798,9.760512,0
